order_number,date,casting_weight_gr,material,modul,inoculant_weight_gr
170632333,11/21/2022,91637,G,1.81,1682
170632337,11/22/2022,40902,G,1.73,869
170632339,11/21/2022,74338,G,2.06,1198
170632343,11/21/2022,102877,G,1.99,1614
170632345,11/21/2022,179143,G,1.91,3046
170632347,11/22/2022,60343,G,1.94,991
170632351,11/21/2022,91011,G,1.71,2015
170632363,11/22/2022,159460,G,2.19,2359
170632371,11/22/2022,19217,G,1.33,553
170632377,11/22/2022,30178,G,1.67,657
170632383,11/22/2022,29039,G,1.66,655
170632391,11/22/2022,27717,G,2.04,417
170632397,11/24/2022,39658,S,0.96,1756
170632399,11/23/2022,33130,S,0.97,1390
170632407,11/22/2022,149491,G,1.68,3386
170632413,11/22/2022,86632,G,1.68,1971
170632423,11/22/2022,32314,G,2.2,477
170632425,11/22/2022,30722,G,1.72,595
170632431,11/22/2022,70227,G,1.91,1448
170632437,11/22/2022,110242,G,1.91,1874
170632443,11/23/2022,34201,S,1.15,1155
170632449,11/22/2022,32436,G,1.99,551
170632325,11/21/2022,156223,G,1.79,2904
170632245,11/24/2022,40664,S,1.36,1165
170632247,11/24/2022,36312,S,1.31,1121
170632249,11/18/2022,86170,S,0.98,3583
170632251,11/18/2022,95268,S,1.19,3222
170632253,11/21/2022,339810,S,1.79,7756
170632255,11/23/2022,508640,S,1.27,18778
170632259,11/21/2022,141984,G,1.79,2571
170632263,11/24/2022,26438,S,0.98,1171
170632269,11/21/2022,27071,G,1.89,465
170632279,11/26/2022,163690,F,1.44,2001
170632281,11/26/2022,163690,F,1.44,2001
170632283,11/26/2022,163690,F,1.44,2001
170632285,11/19/2022,147982,G,1.81,2725
170632287,11/19/2022,147982,G,1.81,2725
170632289,11/19/2022,147982,G,1.81,2725
170632291,11/21/2022,50531,G,2.25,737
170632295,11/21/2022,29866,S,1.06,1089
170632297,11/19/2022,56195,G,2.16,867
170632299,11/19/2022,20645,I,2.52,469
170632303,11/21/2022,11397,S,1.12,417
170632307,11/21/2022,11315,S,1.12,417
170632311,11/21/2022,19856,S,0.95,955
170632321,11/26/2022,111751,F,1.46,1372
170632323,11/26/2022,111751,F,1.46,1372
170631571,11/14/2022,13906,S,1.2,471
170630667,11/1/2022,49062,S,1.14,1654
170630661,11/2/2022,89638,G,2.11,1318
170630659,11/2/2022,89270,G,2.11,1314
170630671,11/3/2022,44431,S,1.42,1143
170630673,11/1/2022,43758,S,1.42,1137
170630655,11/1/2022,189638,G,2.5,2527
170630653,11/3/2022,104149,G,2.11,1532
170630651,11/3/2022,118592,G,2.11,1746
170630645,11/3/2022,17442,S,1.08,615
170630637,11/3/2022,56222,S,1.13,1618
170630627,10/31/2022,68136,G,2,1133
170630677,11/2/2022,104577,G,2.11,1536
170630679,11/2/2022,104577,G,2.11,1536
170630685,11/2/2022,294086,S,1.26,12600
170630691,11/4/2022,118456,I,1.81,2139
170630693,10/31/2022,113560,G,2,1886
170630709,11/2/2022,121516,G,1.96,2257
170630717,10/31/2022,228123,G,1.68,4287
170630719,11/2/2022,228123,G,1.68,4287
170630721,11/4/2022,228123,G,1.68,4287
